pink-graduation-tassel,Pink Graduation Tassel, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/high_school_pink_one_color_tassel_2018.jpg,4.95,"<p><b>Pink Tassel.</b> The tassel is an essential part of graduation regalia. The position of the tassel can represent whether the student has graduated or not; and therefore no graduation outfit is complete without one. Made from high quality poly/rayon bended cord; Graduation World's tassels are 9"" long and each come with a commemorative year drop to signify year of graduation. This graduation accessory is definitely something to keep to remember your academic achievement. Buy in bulk now for extra savings!</p> ",Pink Tassel. The tassel is an essential part of graduation regalia, Pink Tassel | Elementary Accessories | Graduation World, graduationworld, tassel, caps_with_tassel, Apparel & Accessories > Clothing, Default, TRUE,1, FALSE, active ,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/pink_high_school_one_color_tassel_bling_18.jpg,,,, , , , , , ,, ,  ,,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/high_school_pink_one_color_tassel_2018-2.jpg,,,, , , , , , ,, ,  ,,
red-graduation-tassel,Red Graduation Tassel, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/high_school_red_one_color_tassel_2018.jpg,4.95,"Red Graduation Tassel. The tassel is an essential part of graduation regalia. The position of the tassel can represent whether the student has graduated or not; and therefore no graduation outfit is complete without one. Made from high quality poly/rayon bended cord; Graduation World's tassels are 9"" long and each come with a commemorative year drop to signify year of graduation. This graduation accessory is definitely something to keep to remember your academic achievement. Buy in bulk now for extra savings!</p> ",Signify an important and exciting moment in life with this red graduation tassel. Order this tassel online today and be ready to celebrate at graduation!, Red Graduation Tassel | Graduation Tassel for Sale, graduationworld, tassel, caps_with_tassel, Apparel & Accessories > Clothing, Default, TRUE,1, FALSE, active ,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/high_school_red_one_color_tassel_2018-2.jpg,,,, , , , , , ,, ,  ,,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/red_high_school_one_color_tassel_bling_18.jpg,,,, , , , , , ,, ,  ,,
maroon-graduation-tassel,Maroon Graduation Tassel, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/high_school_maroon_one_color_tassel_2018.jpg,4.95,"<p><b>Maroon Tassel.</b> The tassel is an essential part of graduation regalia. The position of the tassel can represent whether the student has graduated or not; and therefore no graduation outfit is complete without one. Made from high quality poly/rayon bended cord; Graduation World's tassels are 9"" long and each come with a commemorative year drop to signify year of graduation. This graduation accessory is definitely something to keep to remember your academic achievement. Buy in bulk now for extra savings!</p> ",Maroon Tassel. The tassel is an essential part of graduation regalia, Maroon Tassel | Elementary Accessories | Graduation World, graduationworld, tassel, caps_with_tassel, Apparel & Accessories > Clothing, Default, TRUE,1, FALSE, active ,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/maroon_high_school_one_color_tassel_bling_18.jpg,,,, , , , , , ,, ,  ,,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/high_school_maroon_one_color_tassel_2018-2.jpg,,,, , , , , , ,, ,  ,,
brown-graduation-tassel,Brown Graduation Tassel, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/high_school_brown_one_color_tassel_2018.jpg,4.95,"<p><b>Brown Tassel.</b> The tassel is an essential part of graduation regalia. The position of the tassel can represent whether the student has graduated or not; and therefore no graduation outfit is complete without one. Made from high quality poly/rayon bended cord; Graduation World's tassels are 9"" long and each come with a commemorative year drop to signify year of graduation. This graduation accessory is definitely something to keep to remember your academic achievement. Buy in bulk now for extra savings!</p> ",Brown Tassel. The tassel is an essential part of graduation regalia, Brown Tassel | Elementary Accessories | Graduation World, graduationworld, tassel, caps_with_tassel, Apparel & Accessories > Clothing, Default, TRUE,1, FALSE, active ,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/high_school_brown_one_color_tassel_2018-2.jpg,,,, , , , , , ,, ,  ,,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/brown_high_school_one_color_tassel_bling_18.jpg,,,, , , , , , ,, ,  ,,
green-graduation-tassel,Green Graduation Tassel, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/green_high_school_one_color_tassel_bling_18.jpg,4.95,"<p><b>Green Tassel.</b> The tassel is an essential part of graduation regalia. The position of the tassel can represent whether the student has graduated or not; and therefore no graduation outfit is complete without one. Made from high quality poly/rayon bended cord; Graduation World's tassels are 9"" long and each come with a commemorative year drop to signify year of graduation. This graduation accessory is definitely something to keep to remember your academic achievement. Buy in bulk now for extra savings!</p> ",Green Tassel. The tassel is an essential part of graduation regalia, Green Tassel | Elementary Accessories | Graduation World, graduationworld, tassel, caps_with_tassel, Apparel & Accessories > Clothing, Default, TRUE,1, FALSE, active ,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/high_school_green_one_color_tassel_2018.jpg,,,, , , , , , ,, ,  ,,
,, https://cdn.shopify.com/s/files/1/0780/4793/6800/files/high_school_green_one_color_tassel_2018-2.jpg,,,, , , , , , ,, ,  ,,
