name,color,description,Tassel Color 1,Tassel Color 2,Tassel Color 3
Royal Blue Child Graduation Cap- Gown & Tassel,Royal Blue,Royal Blue Child Cap; Gown & Tassel   &bull;Cap and gown crafted from sleek; non see through shiny finish  &bull;Reinforced stitching throughout the gown  &bull;Royal Blue shiny tricot fabric  &bull;Durable zipper in matching Royal Blue color  &bull;Classic center pleats in the front of the gown  &bull;Package comes with a one size fits all cap  &bull;Tassel included with commemorative year drop,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White
Navy Blue Child Graduation Cap- Gown & Tassel,Navy Blue,Navy Blue Child Cap; Gown & Tassel   &bull;Cap and gown crafted from sleek; non see through shiny finish  &bull;Reinforced stitching throughout the gown  &bull;Navy Blue shiny tricot fabric  &bull;Durable zipper in matching Navy Blue color  &bull;Classic center pleats in the front of the gown  &bull;Package comes with a one size fits all cap  &bull;Tassel included with commemorative year drop,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White
Purple Child Graduation Cap- Gown & Tassel,Purple,Purple Child Cap; Gown & Tassel   &bull;Cap and gown crafted from sleek; non see through shiny finish  &bull;Reinforced stitching throughout the gown  &bull;Purple shiny tricot fabric  &bull;Durable zipper in matching Purple color  &bull;Classic center pleats in the front of the gown  &bull;Package comes with a one size fits all cap  &bull;Tassel included with commemorative year drop,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White
Gold Child Graduation Cap- Gown & Tassel,Gold,Gold Child Cap; Gown & Tassel   &bull;Cap and gown crafted from sleek; non see through shiny finish  &bull;Reinforced stitching throughout the gown  &bull;Gold shiny tricot fabric  &bull;Durable zipper in matching Gold color  &bull;Classic center pleats in the front of the gown  &bull;Package comes with a one size fits all cap  &bull;Tassel included with commemorative year drop,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White
Orange Child Graduation Cap- Gown & Tassel,Orange,Orange Child Cap; Gown & Tassel   &bull;Cap and gown crafted from sleek; non see through shiny finish  &bull;Reinforced stitching throughout the gown  &bull;Orange shiny tricot fabric  &bull;Durable zipper in matching Orange color  &bull;Classic center pleats in the front of the gown  &bull;Package comes with a one size fits all cap  &bull;Tassel included with commemorative year drop,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White
Pink Child Graduation Cap- Gown & Tassel,Pink,Pink Child Cap; Gown & Tassel   &bull;Cap and gown crafted from sleek; non see through shiny finish  &bull;Reinforced stitching throughout the gown  &bull;Pink shiny tricot fabric  &bull;Durable zipper in matching Pink color  &bull;Classic center pleats in the front of the gown  &bull;Package comes with a one size fits all cap  &bull;Tassel included with commemorative year drop,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White
Red Child Graduation Cap- Gown & Tassel,Red,Red Child Cap; Gown & Tassel   &bull;Cap and gown crafted from sleek; non see through shiny finish  &bull;Reinforced stitching throughout the gown  &bull;Red shiny tricot fabric  &bull;Durable zipper in matching Red color  &bull;Classic center pleats in the front of the gown  &bull;Package comes with a one size fits all cap  &bull;Tassel included with commemorative year drop,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White
Maroon Child Graduation Cap- Gown & Tassel,Maroon,Maroon Child Cap; Gown & Tassel   &bull;Cap and gown crafted from sleek; non see through shiny finish  &bull;Reinforced stitching throughout the gown  &bull;Maroon shiny tricot fabric  &bull;Durable zipper in matching Maroon color  &bull;Classic center pleats in the front of the gown  &bull;Package comes with a one size fits all cap  &bull;Tassel included with commemorative year drop,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White
Brown Child Graduation Cap- Gown & Tassel,Brown,Brown Child Cap; Gown & Tassel   &bull;Cap and gown crafted from sleek; non see through shiny finish  &bull;Reinforced stitching throughout the gown  &bull;Brown shiny tricot fabric  &bull;Durable zipper in matching Brown color  &bull;Classic center pleats in the front of the gown  &bull;Package comes with a one size fits all cap  &bull;Tassel included with commemorative year drop,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White
Green Child Graduation Cap- Gown & Tassel,Green,Green Child Cap; Gown & Tassel   &bull;Cap and gown crafted from sleek; non see through shiny finish  &bull;Reinforced stitching throughout the gown  &bull;Green shiny tricot fabric  &bull;Durable zipper in matching Green color  &bull;Classic center pleats in the front of the gown  &bull;Package comes with a one size fits all cap  &bull;Tassel included with commemorative year drop,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White,Antique Gold;Black;Brown;Emerald;Gold;Green;Hunter;Light Blue;Maroon;Navy;Orange;Pink;Purple;Red;Royal;Silver;White
